Total_Price,Unit_Price,Quantity,Product,Discount,Cluster,Category
47.97,0.99,51,Coca-Cola,0.05,0,Soft Drinks
5.8,0.58,10,Volvic,0.0,0,Water
24.96,3.12,8,Mango Juice,0.0,0,Juices
25.2,0.8,35,Fanta,0.1,0,Soft Drinks
4.19,4.19,1,Riesling,0.0,0,Alcoholic Beverages
39.04,4.88,8,Chardonnay,0.0,0,Alcoholic Beverages
272.0,33.58,9,Johnnie Walker,0.1,0,Alcoholic Beverages
26.48,3.31,8,Mango Juice,0.0,0,Juices
329.31,36.59,9,Johnnie Walker,0.0,0,Alcoholic Beverages
15.68,1.12,14,Augustiner,0.0,0,Alcoholic Beverages
7.54,0.58,13,Volvic,0.0,0,Water
6.9,0.66,11,San Pellegrino,0.05,0,Water
21.12,1.92,11,Erdinger Weißbier,0.0,0,Alcoholic Beverages
12.12,1.01,12,Gerolsteiner,0.0,0,Water
9.3,0.93,10,Kölsch,0.0,0,Alcoholic Beverages
7.86,1.31,6,Evian,0.0,0,Water
44.59,3.43,13,Tomato Juice,0.0,0,Juices
101.7,1.13,100,Apollinaris,0.1,0,Water
848.08,106.01,8,Veuve Clicquot,0.0,2,Alcoholic Beverages
6.62,3.31,2,Mango Juice,0.0,0,Juices
22.23,1.71,13,Vio Wasser,0.0,0,Water
31.14,3.46,9,Cranberry Juice,0.0,0,Juices
1.23,1.23,1,Evian,0.0,0,Water
2.3,0.46,5,Selters,0.0,0,Water
106.25,2.33,48,Fritz-Kola,0.05,0,Soft Drinks
135.66,2.38,60,Passion Fruit Juice,0.05,0,Juices
11.28,1.41,8,Beck's,0.0,0,Alcoholic Beverages
8.51,0.56,16,Schwip Schwap,0.05,0,Soft Drinks
19.8,1.8,11,Hohes C Orange,0.0,0,Juices
47.61,1.79,28,Hohes C Orange,0.05,0,Juices
152.36,2.09,81,Kölsch,0.1,0,Alcoholic Beverages
12.72,1.59,8,Granini Apple,0.0,0,Juices
1.68,0.56,3,Sprite,0.0,0,Soft Drinks
239.09,2.93,96,Tomato Juice,0.15,0,Juices
55.06,1.61,38,Augustiner,0.1,0,Alcoholic Beverages
4.64,0.58,8,Vittel,0.0,0,Water
54.18,0.86,70,Volvic,0.1,0,Water
3.99,0.57,7,Volvic,0.0,0,Water
14.41,1.31,11,Evian,0.0,0,Water
63.34,2.07,34,Rauch Multivitamin,0.1,0,Juices
15.6,1.2,13,Schwip Schwap,0.0,0,Soft Drinks
18.9,1.26,15,Evian,0.0,0,Water
48.01,1.27,42,Sprite,0.1,0,Soft Drinks
7.1,0.83,9,Schwip Schwap,0.05,0,Soft Drinks
9.18,1.53,6,Pepsi,0.0,0,Soft Drinks
5.9,0.59,10,Mezzo Mix,0.0,0,Soft Drinks
26.65,2.05,13,Fritz-Kola,0.0,0,Soft Drinks
12.72,1.59,8,Granini Apple,0.0,0,Juices
6.57,2.19,3,Club Mate,0.0,0,Soft Drinks
8.61,1.23,7,Evian,0.0,0,Water
30.94,2.38,13,Rauch Multivitamin,0.0,0,Juices
104.76,1.2,97,Sprite,0.1,0,Soft Drinks
11.94,1.99,6,Fritz-Kola,0.0,0,Soft Drinks
75.45,5.03,15,Chardonnay,0.0,0,Alcoholic Beverages
16.56,1.38,12,Volvic Touch,0.0,0,Water
102.58,1.39,82,Evian,0.1,0,Water
0.62,0.62,1,Vittel,0.0,0,Water
77.62,0.98,88,Volvic,0.1,0,Water
35.9,0.88,48,Mountain Dew,0.15,0,Soft Drinks
227.85,2.61,97,Hohes C Orange,0.1,0,Juices
248.98,3.64,72,Riesling,0.05,0,Alcoholic Beverages
107.86,1.35,94,Vio Wasser,0.15,0,Water
11.55,1.05,11,Warsteiner,0.0,0,Alcoholic Beverages
14.1,2.35,6,Red Bull,0.0,0,Soft Drinks
65.34,1.1,66,Sprite,0.1,0,Soft Drinks
28.89,3.21,9,Mango Juice,0.0,0,Juices
4.24,0.53,8,Sprite,0.0,0,Soft Drinks
55.39,1.19,49,Apollinaris,0.05,0,Water
8.68,1.24,7,Schwip Schwap,0.0,0,Soft Drinks
70.55,1.58,47,Mountain Dew,0.05,0,Soft Drinks
978.7,11.82,92,Chardonnay,0.1,2,Alcoholic Beverages
4.59,1.53,3,Pepsi,0.0,0,Soft Drinks
51.38,3.67,14,Cranberry Juice,0.0,0,Juices
19.8,1.8,11,Hohes C Orange,0.0,0,Juices
19.08,1.59,12,Granini Apple,0.0,0,Juices
120.56,2.35,54,Club Mate,0.05,0,Soft Drinks
13.65,1.05,13,Warsteiner,0.0,0,Alcoholic Beverages
3426.3,42.3,90,Havana Club,0.1,1,Alcoholic Beverages
439.08,36.59,12,Johnnie Walker,0.0,0,Alcoholic Beverages
7.95,1.59,5,Krombacher,0.0,0,Alcoholic Beverages
152.59,1.87,96,Granini Apple,0.15,0,Juices
96.41,2.36,43,Mango Juice,0.05,0,Juices
42.72,3.56,12,Cranberry Juice,0.0,0,Juices
8.72,1.09,8,Augustiner,0.0,0,Alcoholic Beverages
58.56,4.88,12,Chardonnay,0.0,0,Alcoholic Beverages
4.28,1.07,4,Coca-Cola,0.0,0,Soft Drinks
9.84,1.64,6,Granini Apple,0.0,0,Juices
133.65,2.75,54,Passion Fruit Juice,0.1,0,Juices
0.94,0.47,2,Selters,0.0,0,Water
48.45,3.23,15,Tomato Juice,0.0,0,Juices
1.98,0.99,2,Mountain Dew,0.0,0,Soft Drinks
220.25,3.16,82,Monster,0.15,0,Soft Drinks
140.78,1.58,99,Warsteiner,0.1,0,Alcoholic Beverages
58.3,0.79,82,Vittel,0.1,0,Water
67.72,1.98,36,Fritz-Kola,0.05,0,Soft Drinks
142.44,2.38,63,Monster,0.05,0,Soft Drinks
103.52,51.76,2,Jack Daniels,0.0,0,Alcoholic Beverages
11.22,1.02,11,Warsteiner,0.0,0,Alcoholic Beverages
17.52,2.19,8,Club Mate,0.0,0,Soft Drinks
5.83,0.53,11,Sprite,0.0,0,Soft Drinks
31.36,4.48,7,Merlot,0.0,0,Alcoholic Beverages
9.54,1.59,6,Granini Apple,0.0,0,Juices
18.7,0.48,41,Selters,0.05,0,Water
62.85,4.19,15,Riesling,0.0,0,Alcoholic Beverages
2.24,0.56,4,Sprite,0.0,0,Soft Drinks
8.08,1.01,8,Gerolsteiner,0.0,0,Water
5.25,1.05,5,Warsteiner,0.0,0,Alcoholic Beverages
6.36,2.12,3,Fritz-Kola,0.0,0,Soft Drinks
35.32,8.83,4,Sauvignon Blanc,0.0,0,Alcoholic Beverages
4.8,0.96,5,Apollinaris,0.0,0,Water
10.89,1.21,9,Coca-Cola,0.0,0,Soft Drinks
1.69,1.69,1,Granini Apple,0.0,0,Juices
6.92,3.46,2,Cranberry Juice,0.0,0,Juices
531.63,19.69,30,Jack Daniels,0.1,2,Alcoholic Beverages
8.9,0.89,10,San Pellegrino,0.0,0,Water
2.19,2.19,1,Club Mate,0.0,0,Soft Drinks
218.12,4.1,56,Chardonnay,0.05,0,Alcoholic Beverages
12.6,1.8,7,Hohes C Orange,0.0,0,Juices
67.2,13.44,5,Bacardi,0.0,0,Alcoholic Beverages
8.6,0.86,10,San Pellegrino,0.0,0,Water
166.7,1.89,98,Rauch Multivitamin,0.1,0,Juices
199.92,2.29,97,Club Mate,0.1,0,Soft Drinks
7.7,0.55,14,Sprite,0.0,0,Soft Drinks
10.73,1.13,10,Evian,0.05,0,Water
27.56,2.12,13,Fritz-Kola,0.0,0,Soft Drinks
83.35,1.47,63,Augustiner,0.1,0,Alcoholic Beverages
19.74,1.41,14,Beck's,0.0,0,Alcoholic Beverages
242.32,60.58,4,Moët & Chandon,0.0,0,Alcoholic Beverages
127.53,2.18,65,Club Mate,0.1,0,Soft Drinks
86.51,1.08,89,Pepsi,0.1,0,Soft Drinks
30.42,2.34,13,Rockstar,0.0,0,Soft Drinks
5326.69,87.61,64,Moët & Chandon,0.05,3,Alcoholic Beverages
5.06,0.41,13,San Pellegrino,0.05,0,Water
11.52,0.96,12,Mountain Dew,0.0,0,Soft Drinks
188.16,13.44,14,Bacardi,0.0,0,Alcoholic Beverages
15.07,1.37,11,Beck's,0.0,0,Alcoholic Beverages
4.83,1.61,3,Vio Wasser,0.0,0,Water
13.84,3.46,4,Cranberry Juice,0.0,0,Juices
5.5,1.1,5,Coca-Cola,0.0,0,Soft Drinks
46.41,1.91,27,Rockstar,0.1,0,Soft Drinks
3.48,0.58,6,Volvic,0.0,0,Water
3.81,1.27,3,Schwip Schwap,0.0,0,Soft Drinks
1091.9,109.19,10,Veuve Clicquot,0.0,2,Alcoholic Beverages
98.06,2.27,48,Rockstar,0.1,0,Soft Drinks
8.45,1.69,5,Granini Apple,0.0,0,Juices
5.5,1.1,5,Coca-Cola,0.0,0,Soft Drinks
9.12,0.4,24,Volvic,0.05,0,Water
47.85,2.19,23,Rockstar,0.05,0,Soft Drinks
12.78,2.13,6,Club Mate,0.0,0,Soft Drinks
291.6,4.32,75,Passion Fruit Juice,0.1,0,Juices
18.48,1.68,11,Pepsi,0.0,0,Soft Drinks
19.86,3.31,6,Mango Juice,0.0,0,Juices
125.17,2.16,61,Hohes C Orange,0.05,0,Juices
23.44,2.93,8,Passion Fruit Juice,0.0,0,Juices
151.01,3.57,47,Passion Fruit Juice,0.1,0,Juices
18.39,1.21,16,Kölsch,0.05,0,Alcoholic Beverages
28.89,3.21,9,Mango Juice,0.0,0,Juices
19.26,3.21,6,Monster,0.0,0,Soft Drinks
21.89,1.99,11,Fritz-Kola,0.0,0,Soft Drinks
17.4,4.35,4,Merlot,0.0,0,Alcoholic Beverages
68.86,3.02,24,Monster,0.05,0,Soft Drinks
794.61,9.81,90,Riesling,0.1,2,Alcoholic Beverages
47.71,1.86,27,Erdinger Weißbier,0.05,0,Alcoholic Beverages
14.35,2.05,7,Fritz-Kola,0.0,0,Soft Drinks
73.2,4.88,15,Chardonnay,0.0,0,Alcoholic Beverages
3.11,3.11,1,Passion Fruit Juice,0.0,0,Juices
36.41,3.31,11,Monster,0.0,0,Soft Drinks
5.49,0.61,9,Mezzo Mix,0.0,0,Soft Drinks
402.73,4.52,99,Cranberry Juice,0.1,0,Juices
10.56,0.96,11,Apollinaris,0.0,0,Water
13.68,1.71,8,Vio Wasser,0.0,0,Water
7.12,3.56,2,Cranberry Juice,0.0,0,Juices
1.53,1.53,1,Pepsi,0.0,0,Soft Drinks
29.1,1.94,15,Jever,0.0,0,Alcoholic Beverages
5.6,0.56,10,Vittel,0.0,0,Water
1060.1,106.01,10,Veuve Clicquot,0.0,2,Alcoholic Beverages
292.6,3.08,100,Tomato Juice,0.05,0,Juices
2.24,0.56,4,Vittel,0.0,0,Water
12.6,1.8,7,Hohes C Orange,0.0,0,Juices
38.09,2.93,13,Passion Fruit Juice,0.0,0,Juices
77.98,2.16,38,Hohes C Orange,0.05,0,Juices
12.78,2.13,6,Club Mate,0.0,0,Soft Drinks
13.68,2.28,6,Red Bull,0.0,0,Soft Drinks
13.62,2.27,6,Rockstar,0.0,0,Soft Drinks
5.25,1.05,5,Warsteiner,0.0,0,Alcoholic Beverages
9.66,1.61,6,Vio Wasser,0.0,0,Water
3.69,1.23,3,Evian,0.0,0,Water
30.75,2.05,15,Fritz-Kola,0.0,0,Soft Drinks
100.39,1.69,66,Vio Wasser,0.1,0,Water
13.93,1.99,7,Jever,0.0,0,Alcoholic Beverages
32.04,3.56,9,Cranberry Juice,0.0,0,Juices
0.96,0.96,1,Apollinaris,0.0,0,Water
9.69,3.23,3,Tomato Juice,0.0,0,Juices
61.05,1.26,51,Kölsch,0.05,0,Alcoholic Beverages
303.54,11.63,29,Riesling,0.1,0,Alcoholic Beverages
6.55,1.31,5,Evian,0.0,0,Water
12.84,3.21,4,Mango Juice,0.0,0,Juices
57.89,2.68,24,Rauch Multivitamin,0.1,0,Juices
90.95,1.07,100,San Pellegrino,0.15,0,Water
4.89,1.63,3,Krombacher,0.0,0,Alcoholic Beverages
532.8,35.52,15,Johnnie Walker,0.0,2,Alcoholic Beverages
4.95,0.55,9,Sprite,0.0,0,Soft Drinks
167.3,5.87,30,Riesling,0.05,0,Alcoholic Beverages
24.04,1.01,28,Evian,0.15,0,Water
36.24,3.02,12,Passion Fruit Juice,0.0,0,Juices
23.56,0.8,31,Apollinaris,0.05,0,Water
11.52,0.96,12,Apollinaris,0.0,0,Water
13.02,0.93,14,Apollinaris,0.0,0,Water
131.14,2.03,68,Tomato Juice,0.05,0,Juices
3.71,0.53,7,Sprite,0.0,0,Soft Drinks
3.57,1.19,3,Fanta,0.0,0,Soft Drinks
3.42,1.71,2,Vio Wasser,0.0,0,Water
80.15,1.22,73,Selters,0.1,0,Water
5.25,1.75,3,Hohes C Orange,0.0,0,Juices
1.16,0.58,2,Volvic,0.0,0,Water
225.23,2.58,97,Passion Fruit Juice,0.1,0,Juices
94.77,11.7,9,Riesling,0.1,0,Alcoholic Beverages
14.7,0.91,17,Beck's,0.05,0,Alcoholic Beverages
24.18,1.86,13,Hohes C Orange,0.0,0,Juices
150.96,12.58,12,Havana Club,0.0,0,Alcoholic Beverages
235.86,3.59,73,Passion Fruit Juice,0.1,0,Juices
37.18,2.06,19,Monster,0.05,0,Soft Drinks
5.94,0.99,6,Kölsch,0.0,0,Alcoholic Beverages
34.05,2.27,15,Rockstar,0.0,0,Soft Drinks
9.69,3.23,3,Tomato Juice,0.0,0,Juices
17.38,1.58,11,Pepsi,0.0,0,Soft Drinks
1335.85,47.88,31,Tanqueray,0.1,2,Alcoholic Beverages
3704.16,46.36,94,Johnnie Walker,0.15,1,Alcoholic Beverages
6.54,1.09,6,Augustiner,0.0,0,Alcoholic Beverages
19.38,3.23,6,Tomato Juice,0.0,0,Juices
1.38,1.38,1,Volvic Touch,0.0,0,Water
4.65,0.93,5,Apollinaris,0.0,0,Water
113.22,12.58,9,Havana Club,0.0,0,Alcoholic Beverages
22.23,0.52,45,Selters,0.05,0,Water
1.64,1.64,1,Granini Apple,0.0,0,Juices
17.15,3.43,5,Tomato Juice,0.0,0,Juices
753.75,50.25,15,Jack Daniels,0.0,2,Alcoholic Beverages
124.49,1.82,76,Krombacher,0.1,0,Alcoholic Beverages
18.57,1.15,17,Selters,0.05,0,Water
349.39,5.18,71,Riesling,0.05,0,Alcoholic Beverages
1.07,1.07,1,Gerolsteiner,0.0,0,Water
11.74,1.03,12,Volvic Touch,0.05,0,Water
2.84,1.42,2,Volvic Touch,0.0,0,Water
57.11,57.11,1,Moët & Chandon,0.0,0,Alcoholic Beverages
16.05,1.07,15,Gerolsteiner,0.0,0,Water
12.48,1.04,12,Coca-Cola,0.0,0,Soft Drinks
71.76,1.19,67,Mountain Dew,0.1,0,Soft Drinks
20.98,2.76,8,Mango Juice,0.05,0,Juices
492.8,21.06,26,Jack Daniels,0.1,0,Alcoholic Beverages
19.98,3.33,6,Tomato Juice,0.0,0,Juices
6.72,0.56,12,Vittel,0.0,0,Water
5.76,0.96,6,Mountain Dew,0.0,0,Soft Drinks
15.26,1.09,14,Augustiner,0.0,0,Alcoholic Beverages
12.84,3.21,4,Monster,0.0,0,Soft Drinks
11.52,0.96,12,Apollinaris,0.0,0,Water
136.46,1.71,84,Warsteiner,0.05,0,Alcoholic Beverages
30.54,1.17,29,Granini Apple,0.1,0,Juices
6.9,0.46,15,Selters,0.0,0,Water
38.4,0.94,43,Evian,0.05,0,Water
6.42,1.07,6,Coca-Cola,0.0,0,Soft Drinks
1201.09,109.19,11,Veuve Clicquot,0.0,2,Alcoholic Beverages
92.88,2.4,43,Passion Fruit Juice,0.1,0,Juices
83.95,1.06,88,Gerolsteiner,0.1,0,Water
1.49,1.49,1,Pepsi,0.0,0,Soft Drinks
24.86,2.26,11,Club Mate,0.0,0,Soft Drinks
5.76,0.96,6,Apollinaris,0.0,0,Water
5.68,1.42,4,Volvic Touch,0.0,0,Water
6.93,0.63,11,Mezzo Mix,0.0,0,Soft Drinks
1.89,0.63,3,Mezzo Mix,0.0,0,Soft Drinks
41.9,4.19,10,Riesling,0.0,0,Alcoholic Beverages
30.2,3.02,10,Passion Fruit Juice,0.0,0,Juices
3.88,0.51,8,Selters,0.05,0,Water
27.16,1.94,14,Jever,0.0,0,Alcoholic Beverages
468.72,6.2,84,Rotkäppchen Sekt,0.1,0,Alcoholic Beverages
116.33,1.55,79,Evian,0.05,0,Water
7.84,0.56,14,Sprite,0.0,0,Soft Drinks
18.16,2.27,8,Rockstar,0.0,0,Soft Drinks
24.91,0.38,69,Apollinaris,0.05,0,Water
7.54,0.58,13,Vittel,0.0,0,Water
7.28,0.56,13,Vittel,0.0,0,Water
123.62,8.83,14,Sauvignon Blanc,0.0,0,Alcoholic Beverages
5.1,1.02,5,Warsteiner,0.0,0,Alcoholic Beverages
69.93,1.11,70,Schwip Schwap,0.1,0,Soft Drinks
66.36,4.74,14,Chardonnay,0.0,0,Alcoholic Beverages
4.99,1.05,5,Krombacher,0.05,0,Alcoholic Beverages
76.95,1.35,60,Vio Wasser,0.05,0,Water
73.87,2.43,32,Rauch Multivitamin,0.05,0,Juices
6.35,1.27,5,Schwip Schwap,0.0,0,Soft Drinks
125.93,1.59,88,Vio Wasser,0.1,0,Water
19.49,1.08,19,Volvic Touch,0.05,0,Water
199.58,2.64,84,Club Mate,0.1,0,Soft Drinks
20.52,0.95,24,Schwip Schwap,0.1,0,Soft Drinks
24.87,1.19,22,Volvic Touch,0.05,0,Water
15.15,1.01,15,Gerolsteiner,0.0,0,Water
27.68,13.84,2,Bacardi,0.0,0,Alcoholic Beverages
4.33,1.14,4,Gerolsteiner,0.05,0,Water
2.8,0.56,5,Sprite,0.0,0,Soft Drinks
36.24,3.02,12,Passion Fruit Juice,0.0,0,Juices
17.33,0.57,32,Vittel,0.05,0,Water
25.44,2.12,12,Fritz-Kola,0.0,0,Soft Drinks
89.1,2.25,44,Monster,0.1,0,Soft Drinks
6.05,0.55,11,Sprite,0.0,0,Soft Drinks
4.95,0.99,5,Kölsch,0.0,0,Alcoholic Beverages
35.31,3.21,11,Mango Juice,0.0,0,Juices
7.67,0.59,13,Vittel,0.0,0,Water
33.26,0.88,42,Mezzo Mix,0.1,0,Soft Drinks
32.29,1.03,33,Vio Wasser,0.05,0,Water
30.2,3.02,10,Passion Fruit Juice,0.0,0,Juices
32.23,1.17,29,Mountain Dew,0.05,0,Soft Drinks
1.74,0.58,3,Vittel,0.0,0,Water
3.15,0.63,5,Mezzo Mix,0.0,0,Soft Drinks
258.39,3.3,87,Rauch Multivitamin,0.1,0,Juices
11.02,2.45,5,Mango Juice,0.1,0,Juices
7.07,1.01,7,Gerolsteiner,0.0,0,Water
25.35,1.69,15,Granini Apple,0.0,0,Juices
29.79,3.31,9,Monster,0.0,0,Soft Drinks
216.64,3.31,77,Augustiner,0.15,0,Alcoholic Beverages
101.73,1.36,88,Fanta,0.15,0,Soft Drinks
32.2,8.05,4,Rotkäppchen Sekt,0.0,0,Alcoholic Beverages
12.72,1.59,8,Krombacher,0.0,0,Alcoholic Beverages
97.48,3.31,31,Rotkäppchen Sekt,0.05,0,Alcoholic Beverages
258.8,51.76,5,Jack Daniels,0.0,0,Alcoholic Beverages
12.92,3.23,4,Tomato Juice,0.0,0,Juices
8.8,1.1,8,Coca-Cola,0.0,0,Soft Drinks
93.25,1.59,69,Mezzo Mix,0.15,0,Soft Drinks
44.8,4.48,10,Merlot,0.0,0,Alcoholic Beverages
6.96,1.16,6,Augustiner,0.0,0,Alcoholic Beverages
10.29,3.43,3,Tomato Juice,0.0,0,Juices
8.64,1.08,8,Warsteiner,0.0,0,Alcoholic Beverages
23.8,2.38,10,Rauch Multivitamin,0.0,0,Juices
12.3,2.05,6,Fritz-Kola,0.0,0,Soft Drinks
11.1,2.22,5,Red Bull,0.0,0,Soft Drinks
6.81,2.27,3,Rockstar,0.0,0,Soft Drinks
1.92,0.96,2,Mountain Dew,0.0,0,Soft Drinks
4.95,0.99,5,Apollinaris,0.0,0,Water
11.6,1.16,10,Augustiner,0.0,0,Alcoholic Beverages
1.14,1.14,1,Coca-Cola,0.0,0,Soft Drinks
5.02,0.66,8,Volvic Touch,0.05,0,Water
3.92,0.49,8,Selters,0.0,0,Water
97.76,2.1,49,Club Mate,0.05,0,Soft Drinks
37.44,3.12,12,Monster,0.0,0,Soft Drinks
15.21,1.69,9,Granini Apple,0.0,0,Juices
69.26,1.48,52,Evian,0.1,0,Water
9.54,1.59,6,Granini Apple,0.0,0,Juices
170.35,3.64,52,Passion Fruit Juice,0.1,0,Juices
41.5,0.87,53,Vittel,0.1,0,Water
6.33,0.74,9,Vio Wasser,0.05,0,Water
1.86,1.86,1,Hohes C Orange,0.0,0,Juices
21.1,4.22,5,Merlot,0.0,0,Alcoholic Beverages
83.93,2.85,31,Rauch Multivitamin,0.05,0,Juices
43.26,0.69,66,Selters,0.05,0,Water
253.07,7.21,39,Sauvignon Blanc,0.1,0,Alcoholic Beverages
11.16,0.93,12,Apollinaris,0.0,0,Water
6.52,1.63,4,Krombacher,0.0,0,Alcoholic Beverages
14.2,1.42,10,Volvic Touch,0.0,0,Water
82.4,3.27,28,Red Bull,0.1,0,Soft Drinks
37.15,1.7,23,Erdinger Weißbier,0.05,0,Alcoholic Beverages
1.05,1.05,1,Warsteiner,0.0,0,Alcoholic Beverages
6.25,3.29,2,Passion Fruit Juice,0.05,0,Juices
51.03,1.26,45,Sprite,0.1,0,Soft Drinks
3.68,0.46,8,Selters,0.0,0,Water
982.71,109.19,9,Veuve Clicquot,0.0,2,Alcoholic Beverages
10.66,0.66,17,Fanta,0.05,0,Soft Drinks
20.17,1.93,11,Fritz-Kola,0.05,0,Soft Drinks
6.22,3.11,2,Passion Fruit Juice,0.0,0,Juices
45.45,9.09,5,Sauvignon Blanc,0.0,0,Alcoholic Beverages
5.88,0.49,12,Selters,0.0,0,Water
304.59,4.37,82,Mango Juice,0.15,0,Juices
10.06,5.03,2,Riesling,0.0,0,Alcoholic Beverages
12.66,4.22,3,Merlot,0.0,0,Alcoholic Beverages
5.6,0.59,10,Selters,0.05,0,Water
526.68,30.8,18,Veuve Clicquot,0.05,2,Alcoholic Beverages
23.25,1.55,15,Beck's,0.0,0,Alcoholic Beverages
46.8,3.12,15,Mango Juice,0.0,0,Juices
165.65,4.06,48,Merlot,0.15,0,Alcoholic Beverages
202.61,3.36,67,Cranberry Juice,0.1,0,Juices
142.41,2.63,57,Tomato Juice,0.05,0,Juices
111.43,1.9,69,Volvic Touch,0.15,0,Water
3.11,3.11,1,Passion Fruit Juice,0.0,0,Juices
5.86,2.93,2,Passion Fruit Juice,0.0,0,Juices
29.11,0.98,33,Apollinaris,0.1,0,Water
246.42,3.7,74,Tomato Juice,0.1,0,Juices
213.9,35.65,6,Tanqueray,0.0,0,Alcoholic Beverages
186.9,13.35,14,Havana Club,0.0,0,Alcoholic Beverages
2.95,0.59,5,Vittel,0.0,0,Water
122.02,1.69,76,Tomato Juice,0.05,0,Juices
95.6,1.13,94,Mountain Dew,0.1,0,Soft Drinks
80.5,8.05,10,Rotkäppchen Sekt,0.0,0,Alcoholic Beverages
83.5,3.07,32,Passion Fruit Juice,0.15,0,Juices
69.22,34.61,2,Tanqueray,0.0,0,Alcoholic Beverages
26.52,2.21,12,Rockstar,0.0,0,Soft Drinks
46.62,3.33,14,Tomato Juice,0.0,0,Juices
237.6,2.64,100,Granini Apple,0.1,0,Juices
19.6,2.45,8,Rauch Multivitamin,0.0,0,Juices
873.52,109.19,8,Veuve Clicquot,0.0,2,Alcoholic Beverages
31.1,3.11,10,Passion Fruit Juice,0.0,0,Juices
114.67,1.37,93,Warsteiner,0.1,0,Alcoholic Beverages
5.58,1.86,3,Hohes C Orange,0.0,0,Juices
8.64,0.96,9,Apollinaris,0.0,0,Water
29.45,1.24,25,Granini Apple,0.05,0,Juices
48.15,3.21,15,Mango Juice,0.0,0,Juices
247.59,3.93,70,Cranberry Juice,0.1,0,Juices
12.6,1.8,7,Hohes C Orange,0.0,0,Juices
6.72,0.56,12,Vittel,0.0,0,Water
7.32,0.61,12,Mezzo Mix,0.0,0,Soft Drinks
3.68,0.46,8,Selters,0.0,0,Water
